date,crop,modal_price
2026-08-04,Onion,2140
2026-08-05,Onion,2160
2026-08-06,Onion,2150
2026-08-07,Onion,2180
2026-08-08,Onion,2200
2026-08-09,Onion,2190
2026-08-10,Onion,2215
2026-08-11,Onion,2220
2026-08-12,Onion,2240
2026-08-13,Onion,2230
2026-08-14,Onion,2260
2026-08-15,Onion,2270
2026-08-16,Onion,2290
2026-08-17,Onion,2280
2026-08-18,Onion,2310
2026-08-19,Onion,2320
2026-08-20,Onion,2340
2026-08-21,Onion,2330
2026-08-22,Onion,2360
2026-08-23,Onion,2380
2026-08-24,Onion,2370
2026-08-25,Onion,2400
2026-08-26,Onion,2410
2026-08-27,Onion,2425
2026-08-28,Onion,2410
2026-08-29,Onion,2430
2026-08-30,Onion,2440
2026-08-31,Onion,2460
2026-09-01,Onion,2450
2026-08-04,Tomato,1680
2026-08-05,Tomato,1700
2026-08-06,Tomato,1720
2026-08-07,Tomato,1690
2026-08-08,Tomato,1740
2026-08-09,Tomato,1760
2026-08-10,Tomato,1740
2026-08-11,Tomato,1770
2026-08-12,Tomato,1790
2026-08-13,Tomato,1770
2026-08-14,Tomato,1810
2026-08-15,Tomato,1800
2026-08-16,Tomato,1830
2026-08-17,Tomato,1820
2026-08-18,Tomato,1850
2026-08-19,Tomato,1870
2026-08-20,Tomato,1850
2026-08-21,Tomato,1880
2026-08-22,Tomato,1890
2026-08-23,Tomato,1900
2026-08-24,Tomato,1880
2026-08-25,Tomato,1910
2026-08-26,Tomato,1920
2026-08-27,Tomato,1900
2026-08-28,Tomato,1930
2026-08-29,Tomato,1940
2026-08-30,Tomato,1920
2026-08-31,Tomato,1950
2026-09-01,Tomato,1960
2026-08-04,Soybean,4190
2026-08-05,Soybean,4200
2026-08-06,Soybean,4180
2026-08-07,Soybean,4210
2026-08-08,Soybean,4220
2026-08-09,Soybean,4210
2026-08-10,Soybean,4230
2026-08-11,Soybean,4240
2026-08-12,Soybean,4230
2026-08-13,Soybean,4250
2026-08-14,Soybean,4260
2026-08-15,Soybean,4240
2026-08-16,Soybean,4270
2026-08-17,Soybean,4280
2026-08-18,Soybean,4270
2026-08-19,Soybean,4290
2026-08-20,Soybean,4300
2026-08-21,Soybean,4290
2026-08-22,Soybean,4310
2026-08-23,Soybean,4320
2026-08-24,Soybean,4310
2026-08-25,Soybean,4330
2026-08-26,Soybean,4340
2026-08-27,Soybean,4320
2026-08-28,Soybean,4350
2026-08-29,Soybean,4360
2026-08-30,Soybean,4340
2026-08-31,Soybean,4370
2026-09-01,Soybean,4380
